,film_id,title,original_language,genre_ids,release_date,popularity,vote_average,vote_count,id,genre,release_year,release_month
0,565770,Blue Beetle,en,28,2023-08-16,2973,7.2,956,28,Action,2023,August
1,762430,Retribution,en,28,2023-08-23,1485,6.9,236,28,Action,2023,August
2,615656,Meg 2: The Trench,en,28,2023-08-02,1323,7.0,1973,28,Action,2023,August
3,385687,Fast X,en,28,2023-05-17,1183,7.3,3867,28,Action,2023,May
4,980489,Gran Turismo,en,28,2023-08-09,977,7.8,473,28,Action,2023,August
5,717930,Kandahar,en,28,2023-05-25,723,6.9,565,28,Action,2023,May
6,744278,Mondocane,it,28,2021-09-03,732,6.4,113,28,Action,2021,September
7,678512,Sound of Freedom,en,28,2023-07-03,567,8.0,494,28,Action,2023,July
8,667538,Transformers: Rise of the Beasts,en,28,2023-06-06,547,7.5,3262,28,Action,2023,June
9,298618,The Flash,en,28,2023-06-13,486,6.9,2950,28,Action,2023,June
10,603692,John Wick: Chapter 4,en,28,2023-03-22,434,7.8,4622,28,Action,2023,March
11,299054,Expend4bles,en,28,2023-09-15,460,6.6,79,28,Action,2023,September
12,926393,The Equalizer 3,en,28,2023-08-30,311,6.9,240,28,Action,2023,August
13,606403,Special Delivery,ko,28,2022-01-12,266,7.2,133,28,Action,2022,January
14,1085218,Darkland: The Return,da,28,2023-04-13,357,6.9,163,28,Action,2023,April
15,990140,Sakra,cn,28,2023-01-16,271,6.6,108,28,Action,2023,January
16,1880,Red Dawn,en,28,1984-08-10,301,6.3,691,28,Action,1984,August
17,1152238,Sons of Summer,en,28,2023-07-28,207,7.0,12,28,Action,2023,July
18,575264,Mission: Impossible - Dead Reckoning Part One,en,28,2023-07-08,277,7.7,1163,28,Action,2023,July
19,856289,Creation of the Gods I: Kingdom of Storms,zh,28,2023-07-20,232,7.5,88,28,Action,2023,July
20,1049951,Viking: Bloodlust,en,28,2023-04-21,247,7.1,43,28,Action,2023,April
21,696002,Paydirt,en,28,2020-08-07,245,5.9,59,28,Action,2020,August
22,1093485,The White Storm 3: Heaven or Hell,cn,28,2023-07-06,178,7.0,24,28,Action,2023,July
23,254128,San Andreas,en,28,2015-05-27,184,6.2,8035,28,Action,2015,May
24,979275,Mob Land,en,28,2023-08-04,193,5.8,36,28,Action,2023,August
25,1006462,The Flood,en,28,2023-07-14,230,6.8,204,28,Action,2023,July
26,791373,Zack Snyder's Justice League,en,28,2021-03-18,184,8.2,9199,28,Action,2021,March
27,1135229,I Am Rage,en,28,2023-09-14,168,6.7,19,28,Action,2023,September
28,1030987,Sympathy for the Devil,en,28,2023-07-20,178,6.3,105,28,Action,2023,July
29,634649,Spider-Man: No Way Home,en,28,2021-12-15,184,8.0,18292,28,Action,2021,December
30,457332,Hidden Strike,en,28,2023-07-06,185,7.0,749,28,Action,2023,July
