,film_id,title,original_language,genre_ids,release_date,popularity,vote_average,vote_count
0,565770,Blue Beetle,en,"[28, 878, 12]",2023-08-16,3180.6,7.2,910
1,762430,Retribution,en,"[28, 9648, 53, 80]",2023-08-23,1730.839,6.8,230
2,615656,Meg 2: The Trench,en,"[28, 878, 27]",2023-08-02,1363.273,7.0,1959
3,385687,Fast X,en,"[28, 80, 53]",2023-05-17,1264.755,7.3,3852
4,1008042,Talk to Me,en,"[27, 53]",2023-07-26,1207.188,7.2,876
5,346698,Barbie,en,"[35, 12, 14]",2023-07-19,1142.304,7.3,5024
6,968051,The Nun II,en,"[27, 9648, 53]",2023-09-06,1135.055,6.5,327
7,852436,Let Her Kill You,fr,"[53, 9648]",2023-03-08,831.039,6.6,43
8,717930,Kandahar,en,"[28, 53]",2023-05-25,817.615,6.9,560
9,976573,Elemental,en,"[16, 35, 10751, 14, 10749]",2023-06-14,721.589,7.8,2390
10,980489,Gran Turismo,en,"[28, 18, 12]",2023-08-09,697.78,7.6,409
11,1076364,Carl's Date,en,"[16, 12, 10751]",2023-06-15,696.244,7.8,180
12,335977,Indiana Jones and the Dial of Destiny,en,"[12, 28]",2023-06-28,689.51,6.7,1737
13,744278,Mondocane,it,"[28, 80, 878, 18]",2021-09-03,669.22,6.4,113
14,820609,No One Will Save You,en,"[27, 878, 53]",2023-09-22,664.523,7.0,254
15,678512,Sound of Freedom,en,"[28, 18]",2023-07-03,584.558,8.0,489
16,667538,Transformers: Rise of the Beasts,en,"[28, 12, 878]",2023-06-06,565.382,7.5,3253
17,1002338,Operation Napoleon,is,[53],2023-01-26,544.614,7.1,19
18,569094,Spider-Man: Across the Spider-Verse,en,"[16, 28, 12]",2023-05-31,530.218,8.4,4356
19,298618,The Flash,en,"[28, 12, 878]",2023-06-13,529.097,6.9,2938
20,820525,After Everything,en,"[10749, 18]",2023-09-13,506.015,6.8,62
21,603692,John Wick: Chapter 4,en,"[28, 53, 80]",2023-03-22,479.649,7.8,4615
22,1152797,Freestyle,pl,"[80, 28, 53]",2023-09-13,467.216,6.8,32
23,614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,en,"[16, 35, 28]",2023-07-31,448.537,7.3,634
24,299054,Expend4bles,en,"[28, 12, 53]",2023-09-15,417.131,6.6,74
25,502356,The Super Mario Bros. Movie,en,"[16, 10751, 12, 14, 35]",2023-04-05,396.358,7.8,6724
26,872585,Oppenheimer,en,"[18, 36]",2023-07-19,390.293,8.3,3725
27,790493,Spy Kids: Armageddon,en,"[10751, 35, 28, 12]",2023-09-22,375.668,6.6,39
28,447365,Guardians of the Galaxy Vol. 3,en,"[878, 12, 28]",2023-05-03,373.005,8.0,4927
29,439079,The Nun,en,"[27, 9648, 53]",2018-09-05,369.924,5.9,6071
30,447277,The Little Mermaid,en,"[12, 10751, 14, 10749]",2023-05-18,356.526,6.5,2132
31,926393,The Equalizer 3,en,"[28, 53, 80]",2023-08-30,351.4,6.9,237
32,606403,Special Delivery,ko,"[28, 80]",2022-01-12,349.372,7.2,132
33,1085218,Darkland: The Return,da,"[28, 53]",2023-04-13,348.67,7.0,142
34,912908,Strays,en,"[35, 12]",2023-08-17,344.946,7.5,370
35,670292,The Creator,en,"[878, 28, 53]",2023-09-27,342.181,7.6,16
36,734253,Adipurush,hi,"[28, 12, 18, 14]",2023-06-16,332.282,5.5,51
37,724209,Heart of Stone,en,"[53, 28]",2023-08-09,326.443,6.9,1144
38,635910,The Last Voyage of the Demeter,en,"[53, 27]",2023-08-09,322.027,7.3,697
39,884605,No Hard Feelings,en,"[35, 10749]",2023-06-15,309.163,7.2,1366
40,1032666,Bunker,en,"[27, 53, 10752]",2023-09-14,309.026,7.1,9
41,990140,Sakra,cn,"[28, 18]",2023-01-16,296.749,6.6,108
42,614479,Insidious: The Red Door,en,"[27, 9648, 53]",2023-07-05,288.586,6.8,1152
43,1880,Red Dawn,en,"[28, 53, 10752, 18]",1984-08-10,278.252,6.3,691
44,1152238,Sons of Summer,en,"[28, 9648, 53]",2023-07-28,277.58,6.7,11
45,856289,Creation of the Gods I: Kingdom of Storms,zh,"[28, 14, 10752]",2023-07-20,276.582,7.4,87
46,900667,One Piece Film Red,ja,"[16, 12, 28, 14]",2022-08-06,273.27,7.4,720
47,1049951,Viking: Bloodlust,en,"[28, 36]",2023-04-21,270.67,7.0,38
48,76600,Avatar: The Way of Water,en,"[878, 12, 28]",2022-12-14,269.793,7.7,9818
49,696002,Paydirt,en,"[28, 80, 53]",2020-08-07,268.565,5.9,58
50,1010581,My Fault,es,"[18, 10749]",2023-06-08,257.134,8.1,1720
51,921452,Jeanne du Barry,fr,"[18, 36, 10749]",2023-05-16,251.605,7.0,173
52,1093485,The White Storm 3: Heaven or Hell,cn,"[28, 18, 80]",2023-07-06,250.682,7.1,23
53,575264,Mission: Impossible - Dead Reckoning Part One,en,"[28, 12, 53]",2023-07-08,248.79,7.7,1162
54,951491,Saw X,en,"[80, 27, 53]",2023-09-26,247.284,7.5,11
55,254128,San Andreas,en,"[28, 18, 53]",2015-05-27,247.054,6.2,8032
56,315162,Puss in Boots: The Last Wish,en,"[16, 10751, 14, 12, 35, 28]",2022-12-07,245.002,8.3,6388
57,979275,Mob Land,en,"[28, 80, 53]",2023-08-04,224.44,5.8,36
58,1083862,Resident Evil: Death Island,ja,"[16, 28, 27]",2023-06-22,224.321,7.6,690
59,939338,Epic Tails,fr,"[16, 12, 14, 10751]",2023-01-25,223.571,6.8,34
60,833326,Zero Fucks Given,fr,[18],2022-03-02,220.355,6.5,207
61,1006462,The Flood,en,"[28, 9648, 53, 27]",2023-07-14,219.669,6.8,203
62,1040148,"Ruby Gillman, Teenage Kraken",en,"[16, 10751, 14, 35]",2023-06-28,217.104,7.5,664
63,299536,Avengers: Infinity War,en,"[12, 28, 878]",2018-04-25,216.701,8.3,27705
64,455476,Knights of the Zodiac,en,"[14, 28, 12]",2023-04-27,216.599,6.6,825
65,1074215,红楼梦淫史,zh,"[10749, 18]",1987-01-01,213.287,5.0,1
66,709631,Cobweb,en,[27],2023-07-19,213.221,6.9,384
67,1047041,Detective Conan: Black Iron Submarine,ja,"[16, 28, 80, 9648]",2023-04-14,211.792,6.6,38
68,1172009,The Black Book,en,"[9648, 53, 28]",2023-09-22,210.924,8.1,12
69,1142740,Murder City,en,"[80, 53, 28]",2023-06-29,208.685,7.4,5
70,1175306,Me Vuelves Loca,es,[35],2023-09-07,206.695,8.6,55
71,791373,Zack Snyder's Justice League,en,"[28, 12, 14]",2021-03-18,204.729,8.2,9194
72,1135229,I Am Rage,en,"[28, 53, 27]",2023-09-14,204.593,6.7,19
73,1030987,Sympathy for the Devil,en,"[28, 53]",2023-07-20,204.073,6.3,103
74,634649,Spider-Man: No Way Home,en,"[28, 12, 878]",2021-12-15,203.339,8.0,18289
75,758323,The Pope's Exorcist,en,"[27, 53]",2023-04-05,201.994,7.2,1963
76,459003,Mavka: The Forest Song,uk,"[16, 12, 10751, 14]",2023-03-02,201.966,7.4,392
